Date,Open,High,Low,Close
01-01-2022,46311.74609,47827.3125,46288.48438,47686.8125
02-01-2022,47680.92578,47881.40625,46856.9375,47345.21875
03-01-2022,47343.54297,47510.72656,45835.96484,46458.11719
04-01-2022,46458.85156,47406.54688,45752.46484,45897.57422
05-01-2022,45899.35938,46929.04688,42798.22266,43569.00391
06-01-2022,43565.51172,43748.71875,42645.53906,43160.92969
07-01-2022,43153.57031,43153.57031,41077.44531,41557.90234
08-01-2022,41561.46484,42228.94141,40672.27734,41733.94141
09-01-2022,41734.72656,42663.94922,41338.16016,41911.60156
10-01-2022,41910.23047,42199.48438,39796.57031,41821.26172
11-01-2022,41819.50781,43001.15625,41407.75391,42735.85547
12-01-2022,42742.17969,44135.36719,42528.98828,43949.10156
13-01-2022,43946.74219,44278.42188,42447.04297,42591.57031
14-01-2022,42598.87109,43346.6875,41982.61719,43099.69922
15-01-2022,43101.89844,43724.67188,42669.03516,43177.39844
16-01-2022,43172.03906,43436.80859,42691.02344,43113.87891
17-01-2022,43118.12109,43179.39063,41680.32031,42250.55078
18-01-2022,42250.07422,42534.40234,41392.21484,42375.63281
19-01-2022,42374.03906,42478.30469,41242.91406,41744.32813
20-01-2022,41744.02734,43413.02344,40672.82422,40680.41797
21-01-2022,40699.60547,41060.52734,35791.42578,36457.31641
22-01-2022,36471.58984,36688.8125,34349.25,35030.25
23-01-2022,35047.35938,36433.3125,34784.96875,36276.80469
24-01-2022,36275.73438,37247.51953,33184.05859,36654.32813
25-01-2022,36654.80469,37444.57031,35779.42969,36954.00391
26-01-2022,36950.51563,38825.41016,36374.90625,36852.12109
27-01-2022,36841.87891,37148.32422,35629.28125,37138.23438
28-01-2022,37128.44531,37952.87891,36211.10938,37784.33203
29-01-2022,37780.71484,38576.26172,37406.47266,38138.17969
30-01-2022,38151.91797,38266.33984,37437.71094,37917.60156
31-01-2022,37920.28125,38647.26172,36733.57422,38483.125
